"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 05월 06일","1,928.76","1,919.45","1,928.76","1,902.55","1.08B","1.76%"
"2020년 05월 04일","1,895.37","1,906.42","1,918.66","1,894.29","1.15B","-2.68%"
"2020년 04월 29일","1,947.56","1,936.89","1,957.51","1,934.31","1.98B","0.70%"
"2020년 04월 28일","1,934.09","1,931.25","1,941.79","1,911.63","1.17B","0.59%"
"2020년 04월 27일","1,922.77","1,897.06","1,929.82","1,894.62","735.66M","1.79%"
"2020년 04월 24일","1,889.01","1,906.07","1,908.29","1,880.71","933.92M","-1.34%"
"2020년 04월 23일","1,914.73","1,907.45","1,923.53","1,895.98","683.72M","0.98%"
"2020년 04월 22일","1,896.15","1,855.51","1,897.90","1,844.85","820.36M","0.89%"
"2020년 04월 21일","1,879.38","1,886.78","1,898.32","1,841.66","1.17B","-1.00%"
"2020년 04월 20일","1,898.36","1,908.34","1,925.25","1,893.17","1.09B","-0.84%"
"2020년 04월 17일","1,914.53","1,893.31","1,926.02","1,893.19","1.67B","3.09%"
"2020년 04월 16일","1,857.07","1,839.51","1,862.23","1,828.13","878.34M","-0.00%"
"2020년 04월 14일","1,857.08","1,846.41","1,864.46","1,837.17","886.77M","1.72%"
"2020년 04월 13일","1,825.76","1,853.30","1,853.30","1,825.76","1.02B","-1.88%"
"2020년 04월 10일","1,860.70","1,835.76","1,861.10","1,824.43","992.55M","1.33%"
"2020년 04월 09일","1,836.21","1,838.09","1,839.33","1,818.30","920.57M","1.61%"
"2020년 04월 08일","1,807.14","1,815.75","1,842.16","1,801.80","907.49M","-0.90%"
"2020년 04월 07일","1,823.60","1,826.72","1,838.97","1,791.92","951.74M","1.77%"
"2020년 04월 06일","1,791.88","1,745.25","1,794.19","1,742.67","1.22B","3.85%"
"2020년 04월 03일","1,725.44","1,731.17","1,743.91","1,706.68","1.00B","0.03%"
"2020년 04월 02일","1,724.86","1,693.53","1,726.76","1,664.13","766.31M","2.34%"
"2020년 04월 01일","1,685.46","1,737.28","1,762.44","1,685.37","1.24B","-3.94%"
"2020년 03월 31일","1,754.64","1,739.29","1,757.81","1,722.62","1.04B","2.19%"
"2020년 03월 30일","1,717.12","1,670.34","1,729.63","1,659.95","767.78M","-0.04%"
