Date,Open,High,Low,Close,Adj Close,Volume
2018-08-01,25472.000000,25472.000000,25247.000000,25289.000000,25289.000000,142699
2018-08-02,25313.000000,25332.000000,25087.000000,25305.000000,25305.000000,155369
2018-08-03,25327.000000,25437.000000,25260.000000,25410.000000,25410.000000,115235
2018-08-06,25424.000000,25508.000000,25346.000000,25468.000000,25468.000000,96912
2018-08-07,25473.000000,25661.000000,25460.000000,25600.000000,25600.000000,108087
2018-08-08,25620.000000,25632.000000,25501.000000,25536.000000,25536.000000,97164
2018-08-09,25505.000000,25603.000000,25459.000000,25493.000000,25493.000000,96582
2018-08-10,25478.000000,25490.000000,25215.000000,25331.000000,25331.000000,174863
2018-08-13,25333.000000,25371.000000,25141.000000,25215.000000,25215.000000,166859
2018-08-14,25224.000000,25334.000000,25192.000000,25294.000000,25294.000000,122398
2018-08-15,25318.000000,25318.000000,24955.000000,25187.000000,25187.000000,222573
2018-08-16,25209.000000,25608.000000,25147.000000,25592.000000,25592.000000,170510
2018-08-17,25578.000000,25731.000000,25506.000000,25674.000000,25674.000000,148777
2018-08-20,25703.000000,25791.000000,25663.000000,25758.000000,25758.000000,102528
2018-08-21,25754.000000,25885.000000,25721.000000,25807.000000,25807.000000,106828
2018-08-22,25733.000000,25836.000000,25677.000000,25717.000000,25717.000000,120095
2018-08-23,25731.000000,25767.000000,25607.000000,25671.000000,25671.000000,127109
2018-08-24,25682.000000,25828.000000,25653.000000,25792.000000,25792.000000,111236
2018-08-27,25809.000000,26089.000000,25805.000000,26077.000000,26077.000000,108051
2018-08-28,26079.000000,26156.000000,26044.000000,26085.000000,26085.000000,110164
2018-08-29,26092.000000,26185.000000,26050.000000,26147.000000,26147.000000,104664
2018-08-30,26155.000000,26168.000000,25946.000000,26010.000000,26010.000000,141399
2018-08-31,25974.000000,26049.000000,25896.000000,25988.000000,25988.000000,133440
2018-09-04,26021.000000,26080.000000,25817.000000,25985.000000,25985.000000,180653
2018-09-05,26000.000000,26026.000000,25841.000000,25973.000000,25973.000000,173923
2018-09-06,25990.000000,26100.000000,25894.000000,26025.000000,26025.000000,201868
2018-09-07,26003.000000,26038.000000,25833.000000,25959.000000,25959.000000,206054
2018-09-10,25940.000000,26061.000000,25874.000000,25905.000000,25905.000000,145079
2018-09-11,25897.000000,26038.000000,25764.000000,26002.000000,26002.000000,153176
2018-09-12,26008.000000,26164.000000,25940.000000,26014.000000,26014.000000,198741
2018-09-13,26004.000000,26203.000000,25980.000000,26160.000000,26160.000000,162906
2018-09-14,26161.000000,26237.000000,26078.000000,26158.000000,26158.000000,108420
2018-09-17,26159.000000,26195.000000,26042.000000,26076.000000,26076.000000,81130
2018-09-18,26068.000000,26331.000000,25966.000000,26274.000000,26274.000000,58830
2018-09-19,26290.000000,26477.000000,26237.000000,26434.000000,26434.000000,56272
2018-09-20,26448.000000,26717.000000,26430.000000,26696.000000,26696.000000,36176
2018-09-21,26689.000000,26797.000000,26689.000000,26772.039063,26772.039063,145752
2018-09-24,26709.000000,26739.000000,26577.000000,26610.000000,26610.000000,148656
2018-09-25,26621.000000,26704.000000,26501.000000,26520.000000,26520.000000,136466
2018-09-26,26524.000000,26627.000000,26369.000000,26419.000000,26419.000000,152942
2018-09-27,26417.000000,26576.000000,26357.000000,26473.000000,26473.000000,163378
2018-09-28,26498.000000,26534.000000,26347.000000,26476.000000,26476.000000,177168
2018-10-01,26524.000000,26754.000000,26516.000000,26678.000000,26678.000000,164208
2018-10-02,26685.000000,26837.000000,26552.000000,26807.000000,26807.000000,164667
2018-10-03,26813.000000,26966.000000,26776.000000,26872.000000,26872.000000,166493
2018-10-04,26832.000000,26832.000000,26483.000000,26652.000000,26652.000000,266898
2018-10-05,26671.000000,26736.000000,26311.000000,26492.000000,26492.000000,273829
2018-10-08,26520.000000,26549.000000,26226.000000,26544.000000,26544.000000,222641
2018-10-09,26531.000000,26562.000000,26337.000000,26481.000000,26481.000000,235037
2018-10-10,26472.000000,26522.000000,25431.000000,25519.000000,25519.000000,413483
2018-10-11,25456.000000,25680.000000,24893.000000,25185.000000,25185.000000,696205
2018-10-12,25209.000000,25545.000000,24990.000000,25316.000000,25316.000000,438111
2018-10-15,25344.000000,25471.000000,25111.000000,25201.000000,25201.000000,294513
2018-10-16,25166.000000,25805.000000,25166.000000,25782.000000,25782.000000,250411
2018-10-17,25725.000000,25845.000000,25461.000000,25736.000000,25736.000000,270453
2018-10-18,25704.000000,25726.000000,25217.000000,25381.000000,25381.000000,314790
2018-10-19,25383.000000,25596.000000,25338.000000,25428.000000,25428.000000,267838
2018-10-22,25369.000000,25566.000000,25220.000000,25294.000000,25294.000000,229965
2018-10-23,25297.000000,25310.000000,24750.000000,25244.000000,25244.000000,344634
2018-10-24,25240.000000,25338.000000,24511.000000,24616.000000,24616.000000,348985
2018-10-25,24724.000000,25079.000000,24571.000000,24877.000000,24877.000000,321207
2018-10-26,24804.000000,24885.000000,24415.000000,24746.000000,24746.000000,430291
2018-10-29,24715.000000,25007.000000,24086.000000,24431.000000,24431.000000,371503
2018-10-30,24368.000000,24900.000000,24330.000000,24859.000000,24859.000000,345523
2018-10-31,24882.000000,25303.000000,24823.000000,25077.000000,25077.000000,246406
2018-11-01,25047.000000,25362.000000,25046.000000,25325.000000,25325.000000,214660
2018-11-02,25208.000000,25684.000000,25035.000000,25241.000000,25241.000000,304443
2018-11-05,25220.000000,25465.000000,25131.000000,25441.000000,25441.000000,175812
2018-11-06,25442.000000,25660.000000,25365.000000,25641.000000,25641.000000,152627
2018-11-07,25621.000000,26198.000000,25534.000000,26182.000000,26182.000000,245257
2018-11-08,26182.000000,26268.000000,26069.000000,26200.000000,26200.000000,177079
2018-11-09,26183.000000,26236.000000,25874.000000,25973.000000,25973.000000,208227
2018-11-12,25975.000000,26096.000000,25334.000000,25381.000000,25381.000000,247423
2018-11-13,25405.000000,25566.000000,25181.000000,25330.000000,25330.000000,276955
2018-11-14,25368.000000,25489.000000,24922.000000,25044.000000,25044.000000,294560
2018-11-15,25073.000000,25349.000000,24782.000000,25305.000000,25305.000000,350722
2018-11-16,25311.000000,25505.000000,25096.000000,25451.000000,25451.000000,238921
2018-11-19,25385.000000,25492.000000,24890.000000,25029.000000,25029.000000,248295
2018-11-20,25026.000000,25042.000000,24355.000000,24437.000000,24437.000000,338527
2018-11-21,24434.000000,24659.000000,24382.000000,24465.000000,24465.000000,200252
2018-11-23,null,null,null,null,null,null
2018-11-26,24275.000000,24664.000000,24270.000000,24599.000000,24599.000000,189542
2018-11-27,24504.000000,24781.000000,24404.000000,24742.000000,24742.000000,231349
2018-11-28,24772.000000,25370.000000,24727.000000,25344.000000,25344.000000,248227
2018-11-29,25325.000000,25483.000000,25206.000000,25391.000000,25391.000000,195522
2018-11-30,25378.000000,25602.000000,25223.000000,25539.000000,25539.000000,167055
2018-12-03,25813.000000,26088.000000,25685.000000,25846.000000,25846.000000,246839
2018-12-04,25840.000000,25840.000000,24999.000000,25046.000000,25046.000000,333857
2018-12-06,25133.000000,25141.000000,24256.000000,24907.000000,24907.000000,487528
2018-12-07,24918.000000,25114.000000,24297.000000,24432.000000,24432.000000,396882
2018-12-10,24313.000000,24517.000000,23894.000000,24490.000000,24490.000000,431767
2018-12-11,24475.000000,24823.000000,24231.000000,24422.000000,24422.000000,347238
2018-12-12,24352.000000,24844.000000,24336.000000,24566.000000,24566.000000,282640
2018-12-13,24574.000000,24753.000000,24481.000000,24571.000000,24571.000000,274391
2018-12-14,24586.000000,24610.000000,24042.000000,24113.000000,24113.000000,173885
2018-12-17,24003.000000,24226.000000,23462.000000,23672.000000,23672.000000,153482
2018-12-18,23685.000000,23939.000000,23528.000000,23602.000000,23602.000000,109462
2018-12-19,23536.000000,24086.000000,23168.000000,23316.000000,23316.000000,79979
2018-12-20,23316.000000,23449.000000,22644.000000,23002.000000,23002.000000,55977
2018-12-21,23032.000000,23088.000000,22785.279297,22785.279297,22785.279297,425491
2018-12-24,null,null,null,null,null,null
2018-12-26,21730.000000,22969.000000,21452.000000,22898.000000,22898.000000,359441
2018-12-27,22875.000000,23200.000000,22242.000000,23153.000000,23153.000000,359456
2018-12-28,23118.000000,23372.000000,22957.000000,23035.000000,23035.000000,317883
2018-12-31,23134.000000,23352.000000,23090.000000,23268.000000,23268.000000,173053
2019-01-02,23320.000000,23417.000000,22786.000000,23325.000000,23325.000000,315923
2019-01-03,23065.000000,23123.000000,22615.000000,22659.000000,22659.000000,346019
2019-01-04,22708.000000,23504.000000,22563.000000,23395.000000,23395.000000,320826
2019-01-07,23470.000000,23668.000000,23279.000000,23512.000000,23512.000000,238574
2019-01-08,23530.000000,23848.000000,23497.000000,23743.000000,23743.000000,246033
2019-01-09,23724.000000,23966.000000,23712.000000,23830.000000,23830.000000,235891
2019-01-10,23826.000000,23999.000000,23640.000000,23953.000000,23953.000000,228649
2019-01-11,23958.000000,23994.000000,23765.000000,23950.000000,23950.000000,173649
2019-01-14,23919.000000,23937.000000,23696.000000,23867.000000,23867.000000,163417
2019-01-15,23867.000000,24073.000000,23825.000000,23984.000000,23984.000000,224202
2019-01-16,23981.000000,24259.000000,23959.000000,24151.000000,24151.000000,184061
2019-01-17,24160.000000,24449.000000,24010.000000,24321.000000,24321.000000,201765
2019-01-18,24336.000000,24745.000000,24298.000000,24687.000000,24687.000000,215532
2019-01-22,24690.000000,24702.000000,24216.000000,24390.000000,24390.000000,280459
2019-01-23,24390.000000,24673.000000,24276.000000,24551.000000,24551.000000,250043
2019-01-24,24512.000000,24608.000000,24386.000000,24458.000000,24458.000000,209709
2019-01-25,24476.000000,24830.000000,24458.000000,24696.000000,24696.000000,195062
2019-01-28,24665.000000,24712.000000,24284.000000,24473.000000,24473.000000,210986
2019-01-29,24458.000000,24638.000000,24350.000000,24553.000000,24553.000000,180579
2019-01-30,24635.000000,25068.000000,24540.000000,24968.000000,24968.000000,242154
2019-01-31,24931.000000,25046.000000,24796.000000,24976.000000,24976.000000,230827
2019-02-01,25015.000000,25143.000000,24933.000000,24996.000000,24996.000000,200835
2019-02-04,24939.000000,25198.000000,24924.000000,25188.000000,25188.000000,140106
2019-02-05,25170.000000,25374.000000,25141.000000,25324.000000,25324.000000,159440
2019-02-06,25325.000000,25387.000000,25257.000000,25327.000000,25327.000000,157030
2019-02-07,25311.000000,25331.000000,24965.000000,25131.000000,25131.000000,274561
2019-02-08,25118.000000,25124.000000,24862.000000,25081.000000,25081.000000,223285
2019-02-11,25089.000000,25226.000000,24981.000000,25017.000000,25017.000000,183968
2019-02-12,25012.000000,25439.000000,25002.000000,25406.000000,25406.000000,172650
2019-02-13,25396.000000,25606.000000,25385.000000,25488.000000,25488.000000,170326
2019-02-14,25496.000000,25622.000000,25304.000000,25427.000000,25427.000000,241761
2019-02-15,25407.000000,25907.000000,25275.000000,25888.000000,25888.000000,216960
2019-02-19,25886.000000,25957.000000,25789.000000,25883.000000,25883.000000,206825
2019-02-20,25880.000000,25985.000000,25825.000000,25964.000000,25964.000000,187898
2019-02-21,25964.000000,26082.000000,25753.000000,25833.000000,25833.000000,207240
2019-02-22,25833.000000,26044.000000,25805.000000,26002.000000,26002.000000,179512
2019-02-25,26074.000000,26238.000000,26040.000000,26099.000000,26099.000000,175462
2019-02-26,26096.000000,26150.000000,25954.000000,26037.000000,26037.000000,194075
2019-02-27,26009.000000,26056.000000,25872.000000,26008.000000,26008.000000,174322
2019-02-28,26028.000000,26028.000000,25878.000000,25913.000000,25913.000000,179959
2019-03-01,25923.000000,26143.000000,25894.000000,26031.000000,26031.000000,178642
2019-03-04,26107.000000,26171.000000,25605.000000,25814.000000,25814.000000,293705
2019-03-05,25809.000000,25890.000000,25721.000000,25827.000000,25827.000000,172953
2019-03-06,25790.000000,25832.000000,25625.000000,25666.000000,25666.000000,198158
2019-03-07,25668.000000,25707.000000,25338.000000,25467.000000,25467.000000,275341
2019-03-08,25449.000000,25522.000000,25213.000000,25495.000000,25495.000000,159398
2019-03-11,25465.000000,25694.000000,25218.000000,25653.000000,25653.000000,113227
2019-03-12,25666.000000,25759.000000,25512.000000,25553.000000,25553.000000,81963
2019-03-13,25580.000000,25775.000000,25461.000000,25735.000000,25735.000000,63401
2019-03-14,25761.000000,25795.000000,25624.000000,25710.000000,25710.000000,39428
2019-03-15,25700.000000,25856.000000,25681.000000,25758.890625,25758.890625,213647
2019-03-18,25862.000000,25976.000000,25810.000000,25965.000000,25965.000000,138471
2019-03-19,25967.000000,26145.000000,25847.000000,25906.000000,25906.000000,201555
2019-03-20,25913.000000,25967.000000,25696.000000,25729.000000,25729.000000,235252
2019-03-21,25702.000000,26044.000000,25608.000000,26011.000000,26011.000000,227962
2019-03-22,25982.000000,26036.000000,25529.000000,25570.000000,25570.000000,291875
2019-03-25,25573.000000,25647.000000,25377.000000,25577.000000,25577.000000,248236
