날짜,뉴스_변동성_전체,뉴스_변동성_크기,뉴스_변동성_방향
2021.04.30.,0.6667925674039263,1.64247311827957,2.5652173913043477
2021.04.29.,0.6684100871229283,1.8635235732009925,14.307692307692308
2021.04.28.,0.4827230890816687,1.8057210965435042,17.266666666666666
2021.04.27.,0.39444721212163036,2.5045592705167175,-69.05882352941177
2021.04.26.,0.04161816036789278,1.931937172774869,4.126436781609195
2021.04.25.,0.5472999846778172,1.4842931937172774,9.473684210526315
2021.04.24.,0.20625760262016196,1.8917910447761195,7.636363636363637
2021.04.23.,0.16890145124223288,1.512924071082391,3.7008797653958942
2021.04.22.,0.3488712683900317,1.4258555133079849,-26.5
2021.04.21.,0.2739506339664596,1.796641791044776,5.35
2021.04.20.,0.42776689184327377,1.5901386748844375,4.496815286624204
2021.04.19.,0.3463351111447879,1.410621761658031,-8.08974358974359
2021.04.18.,0.1925645684222671,1.5680473372781065,-2.911111111111111
2021.04.17.,0.7853230922380766,1.193103448275862,9.238095238095237
2021.04.16.,0.5298902833595878,1.6790123456790123,5.107142857142857
2021.04.15.,0.5007107769730067,1.7336769759450172,12.104477611940299
2021.04.14.,0.7917880380256114,1.5896414342629481,-74.875
2021.04.13.,0.7992722109034865,1.3294392523364487,1.9356223175965666
2021.04.12.,0.39120061830182434,3.1596638655462184,8.431818181818182
2021.04.11.,0.8265248793541559,1.7088607594936709,1.7536231884057971
2021.04.10.,0.7906600363634166,1.355263157894737,1.5692307692307692
2021.04.09.,0.5322734169829803,3.6808510638297873,2.17816091954023
2021.04.08.,0.3446425333347168,1.90625,1.9583333333333333
2021.04.07.,0.8434192244302133,1.5436893203883495,11.81081081081081
2021.04.06.,0.9246608025412622,1.5966666666666667,1.935323383084577
2021.04.05.,0.714537565980306,1.88135593220339,1.4464944649446494
2021.04.04.,0.9143587109783254,1.59375,2.210526315789474
2021.04.03.,0.857922011131226,1.1925465838509317,3.4166666666666665
2021.04.02.,0.8152060267572754,1.3682926829268294,1.736842105263158
2021.04.01.,0.8151288456022041,1.3623445825932505,1.8333333333333333
2021.03.31.,0.7638338130340174,1.5705882352941176,1.5169491525423728
2021.03.30.,0.7733832946443483,2.3945578231292517,1.434920634920635
2021.03.29.,0.5052687381476129,10.941176470588236,2.1578947368421053
2021.03.28.,0.712832669786553,1.9411764705882353,1.8
2021.03.27.,0.6926556210410547,2.4761904761904763,1.4186046511627908
2021.03.26.,0.5142036445912457,1.6388888888888888,1.8992248062015504
2021.03.25.,0.78859188760483,1.5753424657534247,2.0232558139534884
2021.03.24.,0.5522504884209404,1.575,3.625
2021.03.23.,-0.32287048390282946,1.8267148014440433,3.0064935064935066
2021.03.22.,0.20005298291076978,1.5772727272727274,16.466666666666665
2021.03.21.,0.8060235778963596,5.5,2.638888888888889
2021.03.20.,0.534790389371184,2.2162162162162162,3.3636363636363638
2021.03.19.,0.4633861255828055,6.1875,1.908496732026144
2021.03.18.,0.3862390994126002,1.8238341968911918,2.282608695652174
2021.03.17.,0.3867353381640965,1.3695652173913044,3.8703703703703702
2021.03.16.,0.55682069638096,1.4423076923076923,2.2824858757062145
2021.03.15.,0.8519684972791173,1.5719063545150502,2.1538461538461537
2021.03.14.,0.9520225989845804,1.2691029900332227,1.4205128205128206
2021.03.13.,0.922572255400806,1.1643835616438356,1.5034013605442176
2021.03.12.,0.8830462259339945,1.462686567164179,1.6158536585365855
2021.03.11.,0.8731753982743634,1.4311926605504588,1.696629213483146
2021.03.10.,0.7481306134736598,1.462962962962963,2.2467532467532467
2021.03.09.,0.7043469196735456,1.540084388185654,2.242857142857143
2021.03.08.,0.7150689767563995,1.3514150943396226,2.1797752808988764
2021.03.07.,1.0,1.2340425531914894,2.375
2021.03.06.,0.8229017354815421,1.8181818181818181,2.2941176470588234
2021.03.05.,0.340870230049767,2.6493506493506493,1.624113475177305
2021.03.04.,0.8074937066035904,1.4068965517241379,2.6507936507936507
2021.03.03.,0.7372075060834448,1.838235294117647,2.1941747572815533
2021.03.02.,0.753017810815708,1.5822222222222222,2.369747899159664
2021.03.01.,0.4984585265169991,1.4090909090909092,1.8076923076923077
2021.02.28.,-0.023709582462713368,1.626865671641791,-13.8
2021.02.27.,0.9035389750090768,1.8160919540229885,3.0652173913043477
2021.02.26.,0.6152757637512623,1.7037037037037037,4.261904761904762
2021.02.25.,0.7420761072521609,1.4609665427509293,3.5844155844155843
2021.02.24.,0.48076103185914926,1.3408071748878925,2.435
2021.02.23.,0.15085262315135134,1.2493333333333334,2.5104166666666665
2021.02.22.,0.8453023392415885,1.4786821705426356,1.942363112391931
2021.02.21.,0.676801400944848,1.2876106194690264,1.8222222222222222
2021.02.20.,0.9669746222650347,1.1436781609195403,1.9215686274509804
2021.02.19.,0.6158040186616888,1.3611111111111112,3.1650485436893203
2021.02.18.,0.7829682771681488,1.223728813559322,5.673913043478261
2021.02.17.,0.9102182221592942,1.2802547770700636,1.559718969555035
2021.02.16.,0.8599920927448098,1.2055555555555555,1.8430232558139534
2021.02.15.,0.8889506503750261,1.4263157894736842,5.305555555555555
2021.02.14.,0.9391871164842217,1.5106382978723405,3.75
2021.02.13.,0.8808006052859877,1.9090909090909092,2.1964285714285716
2021.02.12.,0.6012418987993051,2.4390243902439024,25.0
2021.02.11.,1.0,1.4666666666666666,8.571428571428571
2021.02.10.,0.882365394886293,1.355421686746988,2.4814814814814814
2021.02.09.,0.8967323091759405,1.2450090744101634,3.2346368715083798
2021.02.08.,0.7658220691121989,1.7826086956521738,2.158536585365854
2021.02.07.,0.9055422683658697,1.75,1.9210526315789473
2021.02.06.,0.8209029374561863,1.2987012987012987,5.0
2021.02.05.,0.43484520830710566,13.444444444444445,1.8695652173913044
2021.02.04.,0.3724704409446351,-5.8,67.66666666666667
2021.02.03.,0.18421082812948752,1.2548076923076923,5.0
2021.02.02.,0.47529359970666213,1.4732824427480915,1.9772727272727273
2021.02.01.,0.45764749961566187,2.4857142857142858,1.9285714285714286
2021.01.31.,1.0,1.6923076923076923,1.4285714285714286
2021.01.30.,0.5698352919208641,1.2413793103448276,1.7857142857142858
2021.01.29.,0.6992806823255158,1.5175438596491229,1.9594594594594594
2021.01.28.,0.4806530553490817,1.6282051282051282,2.75
