word,counts
오전,105
일제,105
소득세,105
승인,104
가짜,104
프로그램,104
법무부,104
3년,104
NXC,104
라인,104
김부겸,103
있어,103
넘었다,103
활성화,103
경쟁,103
제도화,103
재테크,103
재개,103
싱가포르,103
상습,103
작년,102
관리,102
대책,102
올,102
껑충,102
2019년,102
1조,101
눈앞,100
어디까지,100
수수료,99
론칭,99
때,99
속도,99
지난해,99
향후,99
속보,99
국제,99
가이드라인,99
과,98
예고,98
돈세탁,98
시가총액,98
11일,98
지분,98
유명,98
클레이튼,98
측,98
사찰,98
이용자,97
이용,97
4월,97
9월,97
신고,97
신청,97
성공,97
챙긴,97
사이트,97
실시간,97
총재,97
옐런,97
위협,96
애플,96
동향,96
고수익,96
신설,96
30대,96
조정,96
정식,96
구형,96
내달,95
2년,95
골드만삭스,95
JP모건,95
계획,95
고액체납자,94
포함,94
발언,94
가로챈,94
서울,94
반도체,94
현금,94
탈취,94
법,94
투자금,94
만든다,94
악성코드,94
도,93
폐쇄,93
완료,93
밀려,93
선고,93
페북,93
보유,92
나선,92
명,92
A,92
크립토,92
거래대금,92
체인파트너스,92
밋업,92
민간인,92
손실,91
의무,91
일,91
컨퍼런스,91
아마존,90
취득,90
오후,90
빠진,90
키워드,90
간다,90
후오비코리아,90
손석희,90
뭐길래,89
소식에,89
아직,89
한마디에,89
박차,89
지급,89
2만달러,89
횡령,89
여부,88
개선,88
첫날,88
해외송금,88
못해,88
이오스,88
등록,88
삼성전자,88
핵,88
은,87
재산,87
조성,87
2021,86
서학개미,86
최근,86
트론,86
은닉,86
오늘도,86
미사일,86
흐름,85
때문,85
분야,85
주간,85
웁살라시큐리티,85
평가,85
상용화,85
쿠팡,85
방지,84
커스터디,84
암호화폐로,84
PC,84
발급,84
XRP,84
처벌,84
시황,83
본,83
추정,83
청와대,83
말,83
가상화폐에,83
인터넷,83
오는,83
수익률,83
위안화,83
인공지능,83
美증시,83
창업자,83
성,83
AML,83
서,83
대한,82
대신,82
문,82
내려,82
법적,82
나선다,82
협약,82
스테이블코인,82
10대,82
트렌드,81
사칭,81
롤러코스터,81
포블게이트,81
IEO,81
건,81
은행권,81
청원,81
눈길,81
스마트폰,81
15일,81
신상공개,81
ETH,80
3%,80
5일,80
리플은,80
총,80
인도,80
필리핀,80
5년,80
핵심,80
윤장현,80
직접,79
40%,79
종목,79
나온다,79
트윗,79
높은,79
유럽,79
도토리,79
조직,79
유튜버,79
엇갈려,79
금리,78
호재,78
암호화폐는,78
편입,78
당국,78
유포,78
블록체인으로,78
웰컴투비디오,78
출석,78
교수,77
3월,77
출금,77
KT,77
잇따라,77
일제히,77
1일,77
무더기,77
의장,77
아들,77
14일,77
알고싶다,77
10월,77
소환,77
연준,76
기승,76
날,76
개인,76
전세계,76
일부,76
