PRICE_SIDO,1423,1394,1367,1350,1342,1342,1357,1374,1403,1428,1440,1448,1452,1453,1455,1455,1456,1456,1457,1457,1456,1454,1447,1439,1435,1432,1428,1423,1418,1412,1407,1407,1408,1414,1424,1442,1469,1490,1505,1515,1525,1529,1530,1536,1548,1559,1572,1586,1603,1615,1615,1616,1615
STD_DT_FULL,2020043 ,2020044 ,2020045 ,2020051 ,2020052 ,2020053 ,2020054 ,2020061 ,2020062 ,2020063 ,2020064 ,2020071 ,2020072 ,2020073 ,2020074 ,2020075 ,2020081 ,2020082 ,2020083 ,2020084 ,2020091 ,2020092 ,2020093 ,2020094 ,2020095 ,2020101 ,2020102 ,2020103 ,2020104 ,2020111 ,2020112 ,2020113 ,2020114 ,2020121 ,2020122 ,2020123 ,2020124 ,2020125 ,2021011 ,2021012 ,2021013 ,2021014 ,2021021 ,2021022 ,2021023 ,2021024 ,2021031 ,2021032 ,2021033 ,2021034 ,2021035 ,2021041 ,2021042 
PRICE,1331,1302,1275,1258,1249,1249,1259,1276,1306,1330,1346,1355,1359,1361,1361,1361,1361,1361,1361,1361,1360,1359,1354,1347,1342,1338,1335,1331,1328,1322,1318,1317,1319,1327,1339,1358,1389,1413,1430,1439,1447,1450,1452,1456,1463,1473,1483,1499,1517,1530,1534,1535,1535
STD_DT,20.4.3,20.4.4,20.4.5,20.5.1,20.5.2,20.5.3,20.5.4,20.6.1,20.6.2,20.6.3,20.6.4,20.7.1,20.7.2,20.7.3,20.7.4,20.7.5,20.8.1,20.8.2,20.8.3,20.8.4,20.9.1,20.9.2,20.9.3,20.9.4,20.9.5,20.10.1,20.10.2,20.10.3,20.10.4,20.11.1,20.11.2,20.11.3,20.11.4,20.12.1,20.12.2,20.12.3,20.12.4,20.12.5,21.1.1,21.1.2,21.1.3,21.1.4,21.2.1,21.2.2,21.2.3,21.2.4,21.3.1,21.3.2,21.3.3,21.3.4,21.3.5,21.4.1,21.4.2
