날짜,종가,오픈,고가,저가,변동 %
2020년 08월 11일,"1,185.62","1,186.08","1,187.97","1,181.69",0.00%
2020년 08월 10일,"1,185.58","1,189.19","1,189.64","1,183.90",-0.30%
2020년 08월 07일,"1,189.18","1,184.00","1,191.28","1,183.07",0.44%
2020년 08월 06일,"1,184.00","1,186.24","1,187.47","1,182.51",-0.19%
2020년 08월 05일,"1,186.24","1,193.32","1,193.81","1,183.31",-0.59%
2020년 08월 04일,"1,193.32","1,192.70","1,197.12","1,191.18",0.05%
2020년 08월 03일,"1,192.70","1,194.10","1,196.79","1,191.31",-0.12%
2020년 07월 31일,"1,194.09","1,189.73","1,196.11","1,186.27",0.37%
2020년 07월 30일,"1,189.73","1,190.04","1,198.22","1,187.59",-0.03%
2020년 07월 29일,"1,190.04","1,199.54","1,200.05","1,189.76",-0.79%
2020년 07월 28일,"1,199.55","1,196.07","1,202.16","1,190.10",0.29%
2020년 07월 27일,"1,196.07","1,201.49","1,202.32","1,194.12",-0.46%
2020년 07월 24일,"1,201.59","1,201.95","1,204.59","1,198.71",-0.03%
2020년 07월 23일,"1,201.95","1,197.38","1,203.85","1,195.58",0.38%
2020년 07월 22일,"1,197.38","1,194.03","1,199.91","1,192.29",0.28%
2020년 07월 21일,"1,194.04","1,201.02","1,202.02","1,192.34",-0.58%
2020년 07월 20일,"1,201.02","1,203.53","1,206.93","1,200.46",-0.24%
2020년 07월 17일,"1,203.94","1,205.23","1,207.35","1,202.92",-0.11%
2020년 07월 16일,"1,205.23","1,201.00","1,207.60","1,200.08",0.35%
2020년 07월 15일,"1,201.00","1,205.01","1,205.49","1,198.81",-0.33%
2020년 07월 14일,"1,205.01","1,203.87","1,208.74","1,203.07",0.09%
2020년 07월 13일,"1,203.87","1,200.52","1,204.48","1,198.69",0.27%
2020년 07월 10일,"1,200.62","1,197.06","1,206.03","1,196.18",0.30%
2020년 07월 09일,"1,197.08","1,192.68","1,199.13","1,191.04",0.36%
2020년 07월 08일,"1,192.85","1,196.84","1,199.53","1,192.08",-0.33%
2020년 07월 07일,"1,196.84","1,192.04","1,197.78","1,189.23",0.40%
2020년 07월 06일,"1,192.05","1,199.66","1,200.10","1,191.11",-0.62%
2020년 07월 03일,"1,199.43","1,199.25","1,202.47","1,197.77",0.02%
2020년 07월 02일,"1,199.25","1,201.67","1,204.15","1,196.68",-0.20%
2020년 07월 01일,"1,201.67","1,199.44","1,205.05","1,197.92",0.19%
2020년 06월 30일,"1,199.44","1,199.66","1,204.68","1,195.09",-0.02%
2020년 06월 29일,"1,199.66","1,203.63","1,205.96","1,197.46",-0.35%
2020년 06월 26일,"1,203.92","1,202.36","1,204.83","1,197.00",0.13%
2020년 06월 25일,"1,202.36","1,206.20","1,209.08","1,200.91",-0.32%
2020년 06월 24일,"1,206.20","1,208.45","1,208.87","1,198.71",-0.19%
2020년 06월 23일,"1,208.46","1,209.53","1,216.40","1,205.47",-0.09%
2020년 06월 22일,"1,209.53","1,211.89","1,216.35","1,208.77",-0.20%
2020년 06월 19일,"1,211.98","1,212.60","1,214.16","1,205.62",-0.05%
2020년 06월 18일,"1,212.59","1,215.53","1,218.09","1,207.76",-0.24%
2020년 06월 17일,"1,215.53","1,212.29","1,219.26","1,210.35",0.27%
2020년 06월 16일,"1,212.29","1,208.65","1,215.22","1,204.09",0.30%
2020년 06월 15일,"1,208.65","1,203.61","1,217.13","1,203.16",0.41%
2020년 06월 12일,"1,203.77","1,206.20","1,210.48","1,200.61",-0.20%
