날짜,bitcoin,virtualcurrency,cryptocurrency,coin
2021.4.3,40,7,44,47
2021.4.4,63,8,45,58
2021.4.5,63,8,45,58
2021.4.6,63,8,45,58
2021.4.7,63,8,45,58
2021.4.8,63,8,45,58
2021.4.9,63,8,45,58
2021.4.10,63,8,45,58
2021.4.11,51,8,48,57
2021.4.12,51,8,48,57
2021.4.13,51,8,48,57
2021.4.14,51,8,48,57
2021.4.15,51,8,48,57
2021.4.16,51,8,48,57
2021.4.17,51,8,48,57
2021.4.18,83,18,67,70
2021.4.19,83,18,67,70
2021.4.20,83,18,67,70
2021.4.21,83,18,67,70
2021.4.22,83,18,67,70
2021.4.23,83,18,67,70
2021.4.24,83,18,67,70
2021.4.25,52,11,40,44
2021.4.26,52,11,40,44
2021.4.27,52,11,40,44
2021.4.28,52,11,40,44
2021.4.29,52,11,40,44
2021.4.30,52,11,40,44
